# Dependency Audit Coverage Log

## Section 1 - Automated Fixes
| Package | Previous | New | Date Applied | Test Outcome |
|---------|----------|-----|--------------|--------------|
| vue     | 3.5.27   | 3.5.30 | 2026-03-14   | PASS         |
| valibot | 1.2.0    | 1.3.0  | 2026-03-17   | PASS         |
| valibot | 1.3.0    | 1.3.1  | 2026-03-20   | PASS         |
| @types/node | 24.10.9 | 24.12.0 | 2026-03-20 | PASS |
| esbuild | 0.27.3 | 0.27.4 | 2026-03-24 | PASS |
| @google/clasp | 3.1.0 | 3.3.0 | 2026-03-23 | PASS |
| @google/clasp | ^3.1.3 | ^3.3.0 | 2026-03-25 | PASS |
| express | ^4.18.2 | ^4.22.1 | 2026-03-25 | PASS |
| vue     | 3.5.30   | 3.5.31 | 2026-03-26   | PASS         |
| vitest  | 4.1.0    | 4.1.2  | 2026-03-27   | PASS         |
| knip    | 6.0.2    | 6.0.6  | 2026-03-28   | PASS         |
| ts-node | 10.9.2   | REMOVED | 2026-03-29 | PASS |
| knip    | 6.0.6    | 6.1.0  | 2026-03-30 | PASS |
| @vitejs/plugin-vue | ^6.0.3 | ^6.0.5 | 2026-03-31 | PASS |
| knip    | 6.1.0    | 6.1.1  | 2026-04-01 | PASS |
| knip    | 6.1.1    | 6.2.0  | 2026-04-02 | PASS |
| knip    | 6.2.0    | 6.3.0  | 2026-04-03 | PASS |
| vue     | 3.5.31   | 3.5.32 | 2026-04-04 | PASS |
| dependency-cruiser | ^17.3.9 | ^17.3.10 | 2026-04-05 | PASS |
| @ast-grep/cli | ^0.42.0 | ^0.42.1 | 2026-04-06 | PASS |
| vue-tsc           | ^3.2.5  | ^3.2.6  | 2026-04-07 | PASS |
| vitest            | ^4.1.2  | ^4.1.3  | 2026-04-12 | PASS |
| vitest            | ^4.1.3  | ^4.1.4  | 2026-04-19 | PASS |
| knip              | 6.3.0   | 6.4.0   | 2026-04-22 | FAIL |
| @types/node       | 24.12.0 | 24.12.2 | 2026-04-12 | FAIL |
| @vitejs/plugin-vue| ^6.0.5  | ^6.0.6  | 2026-04-13 | FAIL |
| @google/clasp     | 3.3.0   | REMOVED | 2026-04-15 | PASS |
| @vue/tsconfig     | ^0.8.1  | ^0.9.1  | 2026-05-24 | PASS |
| jsdom             | ^24.1.0  | ^24.1.3  | 2026-05-25 | PASS |
